         1066820 function calls (925954 primitive calls) in 1.375 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 types.py:237(coroutine)
        1    0.000    0.000    0.004    0.004 inspect.py:27(<module>)
       48    0.000    0.000    0.001    0.000 argparse.py:2467(_get_formatter)
        1    0.000    0.000    0.003    0.003 random.py:38(<module>)
        2    0.000    0.000    0.054    0.027 __init__.py:11(<module>)
        1    0.000    0.000    0.000    0.000 document.py:74(Document)
        5    0.000    0.000    0.006    0.001 base.py:3(<module>)
      128    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
        8    0.000    0.000    0.000    0.000 enum.py:890(<listcomp>)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
        1    0.000    0.000    0.000    0.000 digraphs.py:9(<module>)
      171    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
        1    0.000    0.000    0.000    0.000 python.py:28(PythonLexer)
        4    0.000    0.000    0.004    0.001 __init__.py:10(<module>)
        1    0.000    0.000    0.047    0.047 application.py:1(<module>)
        1    0.000    0.000    0.000    0.000 processors.py:560(AfterInput)
        5    0.000    0.000    0.000    0.000 inspect.py:484(unwrap)
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
       16    0.000    0.000    0.000    0.000 traitlets.py:2468(__init__)
      134    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
      492    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
